Query_Doc@Source_Doc,Count of score
Primas.docx@Hshare.docx,1
RealTract.docx@MyBit.docx,1
Primas.docx@LIFE.docx,1
RealTract.docx@truebit.docx,1
Litex.docx@DeepOnion.docx,1
ReddCoin.docx@DavinciCoin.docx,1
Lunyr.docx@UNUS_SED_LEO.docx,1
RedFOX.docx@BTUProtocol.docx,1
Primas.docx@ULTRAIN.docx,1
NAGA.docx@Icon.docx,1
Litex.docx@Delphy.docx,1
Nano.docx@Credits.docx,1
LiquidApps.docx@Alphacat.docx,1
Refereum.docx@Delphy.docx,1
PRIZM.docx@Velas.docx,1
Refereum.docx@Grid+.docx,1
ProjectPai.docx@AtlasProtocol.docx,1
Refereum.docx@LINA.docx,1
Propy.docx@BABB.docx,1
Refereum.docx@shyft-network-inc-whitepaper_v4.1.docx,1
Litex.docx@MakerDAO.docx,1
Refereum.docx@UNUS_SED_LEO.docx,1
Propy.docx@FunctionX.docx,1
Remme.docx@INS.docx,1
Propy.docx@IHTRealEstateProtocol.docx,1
RequestNetwork.docx@Centrality.docx,1
Propy.docx@MedicCoin.docx,1
RequestNetwork.docx@Ethos.docx,1
Propy.docx@RealTract.docx,1
SALT.docx@Bread.docx,1
Litex.docx@N.Exchange.docx,1
SelfSell.docx@BTUProtocol.docx,1
QASH.docx@Crypterium.docx,1
SelfSell.docx@Levolution.docx,1
Litex.docx@Nebulas.docx,1
Shyft.docx@Cook-Whitepaper-3.docx,1
QASH.docx@Envion.docx,1
Shyft.docx@WePower.docx,1
QASH.docx@IHTRealEstateProtocol.docx,1
shyft-network-inc-whitepaper_v4.1.docx@Cook-Whitepaper-3.docx,1
QASH.docx@INS.docx,1
shyft-network-inc-whitepaper_v4.1.docx@WePower.docx,1
QASH.docx@InternetNodeToken.docx,1
Nebulas.docx@ALQO.docx,1
LIFE.docx@Hifi_Finance.docx,1
Silverway.docx@CertifiedDiamondNetwork.docx,1
QASH.docx@LIFE.docx,1
Nebulas.docx@BOSAGORA.docx,1
QASH.docx@Lunyr.docx,1
Nebulas.docx@ColossusXT.docx,1
MediBloc.docx@Gifto.docx,1
Silverway.docx@IHTRealEstateProtocol.docx,1
MediBloc.docx@Hshare.docx,1
Silverway.docx@LIFE.docx,1
QASH.docx@Shyft.docx,1
Silverway.docx@QASH.docx,1
QASH.docx@shyft-network-inc-whitepaper_v4.1.docx,1
Nebulas.docx@Gifto.docx,1
MediBloc.docx@Levolution.docx,1
Nebulas.docx@Icon.docx,1
Litex.docx@Nework.docx,1
Skale.docx@RocketPool.docx,1
MediBloc.docx@LuckySeven.docx,1
Skycoin.docx@B2BX.docx,1
Litex.docx@Viacoin.docx,1
Skycoin.docx@ChainGames.docx,1
Qtum.docx@Holo.docx,1
Lunyr.docx@BTUProtocol.docx,1
Qtum.docx@Origo.docx,1
Karma.docx@ZrCoin.docx,1
FunctionX.docx@Shyft.docx,1
Ethereum_original.docx@InternetNodeToken.docx,1
BitbookGambling.docx@Carry.docx,1
B2BX.docx@Lympo.docx,1
AcuteAngleCould.docx@Egretia.docx,1
Envion.docx@Cook-Whitepaper-3.docx,1
BitbookGambling.docx@Covesting.docx,1
Eximchain.docx@LIFE.docx,1
AcuteAngleCould.docx@elrond-whitepaper.docx,1
HexxCoin.docx@Ink.docx,1
AcuteAngleCould.docx@Envion.docx,1
Bancor.docx@ColossusXT.docx,1
AcuteAngleCould.docx@HTMLCOIN.docx,1
Entercoin.docx@truebit.docx,1
BitbookGambling.docx@Levolution.docx,1
Envion.docx@Refereum.docx,1
BitbookGambling.docx@MediBloc.docx,1
Everus.docx@Nework.docx,1
Bitcoin.docx@Bulwark.docx,1
FunctionX.docx@BABB.docx,1
BlockMasonCreditProtocol.docx@Kin.docx,1
GreenPower.docx@IOStoken.docx,1
BlockStamp.docx@DavinciCoin.docx,1
IHTRealEstateProtocol.docx@Centrality.docx,1
Bodhi.docx@Carry.docx,1
InternetNodeToken.docx@Levolution.docx,1
Bodhi.docx@CertifiedDiamondNetwork.docx,1
IoTeX.docx@Zcash.docx,1
Bodhi.docx@Hshare.docx,1
ALQO.docx@DeepOnion.docx,1
Bodhi.docx@INS.docx,1
Ankr.docx@INS.docx,1
Bodhi.docx@MediBloc.docx,1
apM_Coin.docx@Carry.docx,1
BOSAGORA.docx@Chia.docx,1
apM_Coin.docx@NAGA.docx,1
AcuteAngleCould.docx@INS.docx,1
Ethereum_original.docx@Ravencoin.docx,1
Bottos.docx@Nework.docx,1
Eximchain.docx@CertifiedDiamondNetwork.docx,1
BTUProtocol.docx@LIFE.docx,1
Eximchain.docx@Traxia.docx,1
0x.docx@IoTeX.docx,1
FunctionX.docx@Grid+.docx,1
AcuteAngleCould.docx@MediBloc.docx,1
Golem.docx@ColossusXT.docx,1
AcuteAngleCould.docx@Nebulas.docx,1
GreenPower.docx@Viacoin.docx,1
Burst.docx@Grid+.docx,1
Hshare.docx@Hifi_Finance.docx,1
Burst.docx@INS.docx,1
IHTRealEstateProtocol.docx@InternetNodeToken.docx,1
Burst.docx@MyBit.docx,1
InternetNodeToken.docx@Dimecoin.docx,1
Burst.docx@NAGA.docx,1
InternetNodeToken.docx@Refereum.docx,1
Carry.docx@CertifiedDiamondNetwork.docx,1
Bancor.docx@Delphy.docx,1
AcuteAngleCould.docx@ULTRAIN.docx,1
Karma.docx@Kyber.docx,1
Carry.docx@Datum.docx,1
BitbookGambling.docx@Bodhi.docx,1
Carry.docx@Egretia.docx,1
0x.docx@Edgeless.docx,1
Carry.docx@Hshare.docx,1
Entercoin.docx@WaykiChain.docx,1
Carry.docx@Levolution.docx,1
Envion.docx@Centrality.docx,1
AcuteAngleCould.docx@UNetwork.docx,1
APIS.docx@LindaCoin.docx,1
AcuteAngleCould.docx@UNUS_SED_LEO.docx,1
Envion.docx@LIFE.docx,1
Cartesi.docx@Neblio.docx,1
Envion.docx@UNUS_SED_LEO.docx,1
Celer.docx@CloakCoin.docx,1
AppCoins.docx@Hshare.docx,1
CelerNetwork-Whitepaper.docx@CloakCoin.docx,1
Ethereum_original.docx@Nebulas.docx,1
aelf.docx@ArdCoin.docx,1
Ardor.docx@Icon.docx,1
aelf.docx@Ardor.docx,1
AtlasProtocol.docx@Gifto.docx,1
Centrality.docx@Gifto.docx,1
Eximchain.docx@FunctionX.docx,1
Centrality.docx@INS.docx,1
B2BX.docx@Celer.docx,1
0x.docx@Kin.docx,1
B2BX.docx@CertifiedDiamondNetwork.docx,1
aelf.docx@Yee.docx,1
FunctionX.docx@Cook-Whitepaper-3.docx,1
Centrality.docx@LIFE.docx,1
FunctionX.docx@NPCoin.docx,1
Centrality.docx@LINA.docx,1
FunctionX.docx@XinFin.docx,1
AgaveCoin.docx@CertifiedDiamondNetwork.docx,1
GreenPower.docx@BlockMasonCreditProtocol.docx,1
Centrality.docx@NAGA.docx,1
GreenPower.docx@Levolution.docx,1
Centrality.docx@NoLimitCoin.docx,1
GXChain.docx@GlitzKoin.docx,1
AgaveCoin.docx@Cook-Whitepaper-3.docx,1
HighPerformanceBlockchain.docx@IoTeX.docx,1
0x.docx@Loopring.docx,1
IHTRealEstateProtocol.docx@BitbookGambling.docx,1
AgaveCoin.docx@EXMR_FDN.docx,1
IHTRealEstateProtocol.docx@Crypterium.docx,1
CertifiedDiamondNetwork.docx@INS.docx,1
B2BX.docx@Levolution.docx,1
ChainGames.docx@Covesting.docx,1
BABB.docx@BitbookGambling.docx,1
ChainGames.docx@Hifi_Finance.docx,1
AcuteAngleCould.docx@Carry.docx,1
ChainGames.docx@Hshare.docx,1
InternetNodeToken.docx@Origo.docx,1
AgaveCoin.docx@Shyft.docx,1
BABB.docx@PLATINCOIN.docx,1
AgaveCoin.docx@shyft-network-inc-whitepaper_v4.1.docx,1
IoTeX.docx@Loki.docx,1
CloakCoin.docx@DeepOnion.docx,1
IoTeX.docx@PIVX.docx,1
CloakCoin.docx@HTMLCOIN.docx,1
Karma.docx@Cryptonex.docx,1
ColossusXT.docx@Crypterium.docx,1
Karma.docx@Shyft.docx,1
ColossusXT.docx@Diamond.docx,1
Bankex.docx@INS.docx,1
Constellation.docx@CyberVein.docx,1
ALQO.docx@ColossusXT.docx,1
Cook-Whitepaper-3.docx@Datum.docx,1
Entercoin.docx@Skycoin.docx,1
Cook-Whitepaper-3.docx@Gifto.docx,1
Ambrosus.docx@Cryptonex.docx,1
Cook-Whitepaper-3.docx@INS.docx,1
Ambrosus.docx@LunchMoney.docx,1
Cook-Whitepaper-3.docx@Levolution.docx,1
Envion.docx@B2BX.docx,1
Cook-Whitepaper-3.docx@MediBloc.docx,1
Envion.docx@Bodhi.docx,1
COSS.docx@LIFE.docx,1
Envion.docx@CertifiedDiamondNetwork.docx,1
Covesting.docx@DavinciCoin.docx,1
Ankr.docx@MyBit.docx,1
Aion.docx@Blocknet.docx,1
Envion.docx@Hifi_Finance.docx,1
Aion.docx@CertifiedDiamondNetwork.docx,1
Envion.docx@Levolution.docx,1
Covesting.docx@MediBloc.docx,1
apM_Coin.docx@Crypterium.docx,1
Covesting.docx@NAGA.docx,1
Envion.docx@Skycoin.docx,1
Crypterium.docx@EXMR_FDN.docx,1
Ethereum_original.docx@Ambrosus.docx,1
Aion.docx@CyberVein.docx,1
Ethereum_original.docx@DeepOnion.docx,1
Crypterium.docx@Levolution.docx,1
Ethereum_original.docx@Gulden.docx,1
Crypterium.docx@LIFE.docx,1
Ethereum_original.docx@NAGA.docx,1
AIOZ.docx@elrond-whitepaper.docx,1
Ethereum_original.docx@QuantumResistantLedger.docx,1
AIOZ.docx@IoTeX.docx,1
0x.docx@InternetNodeToken.docx,1
Cryptonex.docx@LINA.docx,1
Everex.docx@Entercoin.docx,1
AIOZ.docx@Komodo.docx,1
Eximchain.docx@BitbookGambling.docx,1
Datum.docx@INS.docx,1
B2BX.docx@BitbookGambling.docx,1
DavinciCoin.docx@PLATINCOIN.docx,1
Eximchain.docx@Cook-Whitepaper-3.docx,1
DeepOnion.docx@HTMLCOIN.docx,1
Eximchain.docx@InternetNodeToken.docx,1
AIOZ.docx@QuantumResistantLedger.docx,1
Eximchain.docx@LiquidApps.docx,1
0x.docx@Refereum.docx,1
Eximchain.docx@MediBloc.docx,1
Delphy.docx@Kin.docx,1
Eximchain.docx@WePower.docx,1
0x.docx@B2BX.docx,1
FunctionX.docx@B2BX.docx,1
Dimecoin.docx@Hifi_Finance.docx,1
FunctionX.docx@Blocktix.docx,1
Dimecoin.docx@Hshare.docx,1
FunctionX.docx@Cryptonex.docx,1
DMarket.docx@NAGA.docx,1
B2BX.docx@CyberVein.docx,1
Dragonchain.docx@Centrality.docx,1
FunctionX.docx@RealTract.docx,1
Dusk.docx@ColossusXT.docx,1
FunctionX.docx@shyft-network-inc-whitepaper_v4.1.docx,1
Dusk.docx@IoTeX.docx,1
GNY.docx@RealTract.docx,1
Dusk.docx@Nano.docx,1
B2BX.docx@GXChain.docx,1
AllSports.docx@CertifiedDiamondNetwork.docx,1
GreenPower.docx@Bulwark.docx,1
Edgeless.docx@Delphy.docx,1
GreenPower.docx@IoTeX.docx,1
Edgeless.docx@Kin.docx,1
GreenPower.docx@Peerplays.docx,1
Edgeless.docx@Tigereum.docx,1
Gulden.docx@Yee.docx,1
Edgeless.docx@Traxia.docx,1
Hegic.docx@Kyber.docx,1
Elastic.docx@Skycoin.docx,1
Hifi_Finance.docx@EXMR_FDN.docx,1
Elastos.docx@ULTRAIN.docx,1
Holo.docx@APIS.docx,1
Electra.docx@LindaCoin.docx,1
HTMLCOIN.docx@Gifto.docx,1
Electra.docx@Verge.docx,1
IHTRealEstateProtocol.docx@BlockMasonCreditProtocol.docx,1
elrond-whitepaper.docx@DeepOnion.docx,1
IHTRealEstateProtocol.docx@CertifiedDiamondNetwork.docx,1
elrond-whitepaper.docx@HTMLCOIN.docx,1
IHTRealEstateProtocol.docx@INS.docx,1
elrond-whitepaper.docx@IoTeX.docx,1
IHTRealEstateProtocol.docx@LIFE.docx,1
0x.docx@Delphy.docx,1
IHTRealEstateProtocol.docx@Primas.docx,1
elrond-whitepaper.docx@PIVX.docx,1
INS.docx@EXMR_FDN.docx,1
Alphacat.docx@Carry.docx,1
InternetNodeToken.docx@Delphy.docx,1
Energo.docx@MediBloc.docx,1
InternetNodeToken.docx@Hifi_Finance.docx,1
Entercoin.docx@Ankr.docx,1
InternetNodeToken.docx@Kin.docx,1
Entercoin.docx@B2BX.docx,1
BABB.docx@DavinciCoin.docx,1
Alphacat.docx@MediBloc.docx,1
BABB.docx@LuckySeven.docx,1
Entercoin.docx@BlockMasonCreditProtocol.docx,1
IOStoken.docx@ALQO.docx,1
Entercoin.docx@Burst.docx,1
Iota.docx@RealTract.docx,1
Entercoin.docx@Celer.docx,1
IoTeX.docx@ColossusXT.docx,1
Entercoin.docx@CyberVein.docx,1
IoTeX.docx@Nebulas.docx,1
ALQO.docx@APIS.docx,1
IoTeX.docx@OriginTrail.docx,1
Entercoin.docx@FunctionX.docx,1
IoTeX.docx@ULTRAIN.docx,1
Entercoin.docx@Grid+.docx,1
Karma.docx@AtlasProtocol.docx,1
Entercoin.docx@HexxCoin.docx,1
Karma.docx@DMarket.docx,1
AcuteAngleCould.docx@Akash.docx,1
Bankex.docx@Burst.docx,1
Entercoin.docx@Mirror.docx,1
Karma.docx@shyft-network-inc-whitepaper_v4.1.docx,1
Entercoin.docx@MyBit.docx,1
Komodo.docx@Chia.docx,1
Entercoin.docx@NAGA.docx,1
Kyber.docx@Gifto.docx,1
Entercoin.docx@PayPie.docx,1
Entercoin.docx@Peerplays.docx,1
Grand Total,1723
,
